state,type,name,status,risk
Gujarat,aquifers,Saurashtra over-exploited,critical,GW market unregulated · Mehsana-Banaskantha F
Gujarat,urban-drains,Vapi-Ankleshwar industrial,critical,Chemical cocktail · pharma residues · Mundra port discharge
Uttar Pradesh,rivers,Ganga · Yamuna · Hindon,critical,BOD 50+ Yamuna Delhi-Agra-Mathura · Kanpur tannery Cr · Hindon catastrophic
Uttar Pradesh,aquifers,Western UP + Bundelkhand alluvial,critical,1-3m/decade fall · Bundelkhand wells Feb-dry · As Eastern UP (Ballia-Ghazipur)
Uttar Pradesh,urban-drains,22 drains across UP cities,critical,Direct sewage discharge · Singrauli coal-thermal
Bihar,rivers,Ganga · Kosi · Gandak,critical,BOD critical · sewage uncontrolled · Kosi annual floods
Bihar,aquifers,Bihar alluvial GW,critical,As-contaminated Bhagalpur-Patna-Munger (~50M exposed in BR+neighbours)
Bihar,lakes-tanks,Maithili ahar-pyne system,critical,Lost · pukur drying
Delhi,rivers,Yamuna,critical,BOD 50+ vs limit 3 · DPCC vs CPCB divergence · floodplain encroached
Delhi,urban-drains,22 drains (Najafgarh · Okhla · Wazirabad),critical,Direct discharge · industrial Naraina
Delhi,aquifers,NCR shared alluvial,critical,GW critical S+SW Delhi · Yamuna recharge thin
Karnataka,rivers,Cauvery + tributaries,declining,KRS-Hemavathi-Kabini at threshold · CWMA · Mysore-BLR pumping
Karnataka,lakes-tanks,Bengaluru lakes,critical,-80% since 1960 · katte revival pilots · Tippagondanahalli sewage
Karnataka,aquifers,Bengaluru + Kolar GW,critical,200ft drop in 20 yrs · Day-Zero Mar 2024
Karnataka,springsheds,Western Ghats springs,declining,Discharge falling · forest degradation
West Bengal,rivers,Hooghly · Ganga,critical,Kolkata STPs critical underperformance · industrial Howrah
West Bengal,wetlands,Sundarbans mangroves,critical,-210 sq km lost to sea since 1969 · climate refugees ongoing
West Bengal,coastal-estuarine,Sundarbans + delta,critical,70%+ tubewells brackish · 5-10 km/decade salinity advance
West Bengal,aquifers,WB alluvial aquifer,critical,As-contaminated · ~50M exposed (worst-in-world records)
Sikkim,cryosphere,Sikkim Himalayan glaciers,critical,200+ ICIMOD-flagged dangerous lakes · GLOF risk · South Lhonak Oct 2023
Sikkim,springsheds,Sikkim Spring Atlas,declining,50% mapped springs going seasonal · methodology mature
Sikkim,rivers,Teesta,critical,Teesta-III destroyed Oct 2023 GLOF · downstream cascade
Ladakh,cryosphere,Indus headwater glaciers,critical,40% glacier area lost · Indus Treaty suspended Sep 2025
Ladakh,springsheds,Cold-desert springs (kuls/zings),declining,Spring decline · ice-stupa traditional knowledge under stress
Ladakh,rivers,Indus + tributaries,declining,Transboundary stress · seasonal flux
Himachal Pradesh,cryosphere,Himachal glaciers,critical,40% area lost · GLOF risk · cloud-bursts
Himachal Pradesh,rivers,Sutlej · Beas · Ravi · Yamuna,declining,Bhakra-Pong-Pandoh · hydropower variability
Himachal Pradesh,springsheds,Spiti + Lahaul + Kinnaur,declining,Kuhls decaying · tourism load · forest fragmentation
Uttarakhand,cryosphere,Garhwal+Kumaon glaciers,critical,2013 Kedarnath flood (~5K dead) · 2021 Chamoli · GLOF risk
Uttarakhand,rivers,Ganga upstream · Bhagirathi · Yamunotri,declining,Tehri reservoir · pilgrimage pollution Haridwar-Rishikesh
Uttarakhand,springsheds,Garhwal + Kumaon springs,declining,50% going seasonal · ICIMOD priority · naula (stone-lined springs) decaying
Kerala,rivers,Periyar · Pamba,declining,Periyar industrial · Pamba pilgrimage (Sabarimala)
Kerala,wetlands,Vembanad · Ashtamudi backwaters,critical,Eutrophication · paddy-to-tourism conversion · backwater fragmentation
Kerala,coastal-estuarine,Kerala 580 km coast,critical,2018-19-24 mudslide-flood-drought · sea-level rise · Kasaragod endosulfan legacy
Kerala,urban-drains,Eloor-Edayar (Kochi),critical,Industrial · titanium-zircon · pharma
Odisha,rivers,Mahanadi · Brahmani · Vamsadhara,declining,Mahanadi tribunal active · River Boards Act candidate · industrial Talcher
Odisha,wetlands,Chilika · Bhitarkanika mangroves,stressed,Lagoon brackish · mangrove stress · cyclone exposure
Odisha,coastal-estuarine,Odisha cyclone coast,critical,BoB cyclones (Phailin · Hudhud · Fani · Yaas) · 1999 super-cyclone template
Jharkhand,rivers,Damodar · Subarnarekha,critical,Industrial pollution · CIL coal water consumption · Joda-Barbil iron-ore
Jharkhand,aquifers,Mining-belt aquifers,critical,Mining contamination · As Sahibganj · iron belt
Jharkhand,lakes-tanks,Santhal-Pargana traditional water,declining,Tribal water management eroded · adivasi displacement for dams
Chhattisgarh,rivers,Mahanadi headwaters,declining,Korba thermal cooling · industrial water stress
Chhattisgarh,aquifers,Plateau hard-rock GW,declining,Industrial water stress · uneven recharge
Chhattisgarh,lakes-tanks,Tribal water management,declining,Coal mining displacement · contamination
Assam,rivers,Brahmaputra + tributaries,critical,Annual floods · 100K+ displaced/yr · industrial inflow
Assam,aquifers,Brahmaputra valley alluvial,critical,As 24+ districts · iron ubiquitous
Assam,wetlands,Char-chapori riverine + Kaziranga adjacent,stressed,Riverbank erosion · displacement
Meghalaya,springsheds,Meghalaya Springshed Mission,recovering,Methodology mature · positive precedent · scale to NE
Meghalaya,rivers,Umiam · Kynshi · Myntdu,stable,Mostly stable · pockets of mining contamination
Meghalaya,aquifers,Limestone Shillong + Khasi hills,stable,Mining pockets (cement clusters)
